Geography,Other Serious Crime,Financial Year,Count
ZA,Commercial Crime,2022/2023,111311
ZA,Shoplifting,2022/2023,49688
EC,All Theft Not Mentioned Elsewhere,2022/2023,25480
EC,Commercial Crime,2022/2023,10203
EC,Shoplifting,2022/2023,3764
FS,All Theft Not Mentioned Elsewhere,2022/2023,17011
FS,Commercial Crime,2022/2023,4205
FS,Shoplifting,2022/2023,2519
GT,All Theft Not Mentioned Elsewhere,2022/2023,75456
GT,Commercial Crime,2022/2023,37573
GT,Shoplifting,2022/2023,15666
KZN,All Theft Not Mentioned Elsewhere,2022/2023,37372
KZN,Commercial Crime,2022/2023,18265
KZN,Shoplifting,2022/2023,8028
LIM,All Theft Not Mentioned Elsewhere,2022/2023,17500
LIM,Commercial Crime,2022/2023,5921
LIM,Shoplifting,2022/2023,3346
MP,All Theft Not Mentioned Elsewhere,2022/2023,13689
MP,Commercial Crime,2022/2023,6024
MP,Shoplifting,2022/2023,3045
NW,All Theft Not Mentioned Elsewhere,2022/2023,16143
NW,Commercial Crime,2022/2023,5859
NW,Shoplifting,2022/2023,1919
NC,All Theft Not Mentioned Elsewhere,2022/2023,8659
NC,Commercial Crime,2022/2023,1876
NC,Shoplifting,2022/2023,1341
WC,All Theft Not Mentioned Elsewhere,2022/2023,64729
WC,Commercial Crime,2022/2023,21385
WC,Shoplifting,2022/2023,10060
